İstanbul;(78. Yarış Günü);12/10/2025
3;BIMINI ROAD DB SK;2y d  d;KANEKO;LADY SMITH;57;İ.KOYUNCU AP;ADİL MERT KAYA;T.TAŞAR;8;%1.51(10);13;Ç6S7Ç8;28;17;1:22.20
4;ELISA DAY (GB) SK;2y a  d;ULYSSES (IRE);BELLA NOSTALGIA (IRE);57;A.KURŞUN;V.İBRAHİM ARACI;E.USLU;5;%12.17(4);;Ç8;116;19;
5;FINALLY IDYLL KG K;2y d  d;KINOWA;WABUNABA;54 +1.90;M.KEÇECİ AP;TARDUHAN SÜTMEN;HÜS.ÇAKMAK;3;%3.66(7);;S3;18;19;
6;HILDA K;2y d  d;LAWMAN (FR);BAILEYS PARISIENNE (FR);57;A.YILDIZ;BERİN GÖKTÜRK;H.BOYRAZ;10;%13.6(3);32;Ç3S3Ç6;28;17;
7;LADAMADELAMAFIA K;2y d  d;MENDIP (USA);MAMMA MIA;57;A.SÖZEN;GÜLİZAR YANIK;C.KATI;9;%18.19(2);40;K5S5S2S4S5K4;13;17;
8;MUSTANG SALLY KG K;2y a  d;ARSEN LUPEN;CAT IN THE HAT;57;A.ASLAN;HALUK VEFA ERSÖZ;T.KURT;6;%1.24(11);;Ç9;72;19;
9;SMOOTH CRIMINAL K;2y d  d;HEMSWORTH (USA);FLANDRA;57;G.ÖZÇELİK;HAKAN YENİDOĞAN;H.ACAR;1;%8.57(5);;S2;18;19;
10;ULTIMATE POWER SK;2y d  d;MENDIP (USA);HOLY EMPRESS;57;E.AKTUĞ;MERVE MANAV;T.ŞİT;11 - DS;%2.13(9);;S4Ç5;21;18;1:22.94
11;VEN CONMİGO K;2y d  d;MYBOYCHARLIE (IRE);GLEN;53;Y.GÖKÇE AP;SEMİH KATI;C.KATI;4;%8.44(6);32;Ç7K4S2;7;17;
GANYAN;İKİLİ;SIRALI İKİLİ;ÜÇLÜ BAHİS;PLASE;PLASE İKİLİ

